taxa	d0_in	d0_5_up
S_Thiohalobacter_thiocyanaticus	FALSE	FALSE
G_Cupriavidus	FALSE	FALSE
F_Alcaligenaceae	FALSE	FALSE
S_Prevotella_stercorea	FALSE	FALSE
S_Fodinicurvata_halophila	FALSE	FALSE
S_Sphingobacterium_nematocida	FALSE	FALSE
F_Yersiniaceae	FALSE	FALSE
F_Pasteurellaceae	FALSE	FALSE
S_Stenotrophomonas_rhizophila	FALSE	FALSE
G_Cellvibrio	FALSE	FALSE
S_Phenylobacterium_deserti	FALSE	FALSE
F_Streptomycetaceae	FALSE	FALSE
S_Ruthenibacterium_lactatiformans	FALSE	FALSE
S_Dysgonomonas_gadei	FALSE	FALSE
S_Stenotrophomonas_bentonitica	FALSE	FALSE
S_Phenylobacterium_zucineum	FALSE	FALSE
S_Microbacterium_pseudoresistens	FALSE	FALSE
P_Actinobacteria	FALSE	FALSE
S_Myroides_odoratus	FALSE	FALSE
S_Hydrogenophilus_thermoluteolus	FALSE	FALSE
S_Acinetobacter_lwoffii	FALSE	FALSE
S_Rubrobacter_spartanus	FALSE	FALSE
S_Flavonifractor_plautii	FALSE	FALSE
S_Prevotella_shahii	FALSE	FALSE
S_Brevundimonas_bullata	FALSE	FALSE
G_Erythrobacter	FALSE	FALSE
G_Pseudorhizobium	FALSE	FALSE
S_Roseomonas_gilardii	FALSE	FALSE
F_Hafniaceae	FALSE	FALSE
S_Caldovatus_sediminis	FALSE	FALSE
S_Blastococcus_aggregatus	FALSE	FALSE
G_Herbaspirillum	FALSE	FALSE
S_Streptococcus_parasanguinis	FALSE	FALSE
G_Halomonas	FALSE	FALSE
S_Schaalia_odontolytica	FALSE	FALSE
S_Aliterella_antarctica	FALSE	FALSE
S_Shewanella_putrefaciens	FALSE	FALSE
S_Glycomyces_phytohabitans	FALSE	FALSE
S_Deinococcus_reticulitermitis	FALSE	FALSE
S_Luteitalea_pratensis	FALSE	FALSE
F_Pseudomonadaceae	FALSE	FALSE
O_Solirubrobacterales	FALSE	FALSE
G_Anaerobacillus	FALSE	FALSE
S_Staphylococcus_saprophyticus	FALSE	FALSE
S_Anaerococcus_nagyae	FALSE	FALSE
G_Blastococcus	FALSE	FALSE
